Year,Geography Level,NAME,FIPS,Value Type,Source,Dataset,Values,Role
2021,Metropolitan Statistical Area,Houston MSA,26420,DEATHS,Census-CBSA,PEP_Vintage_2025,-55362.0,Peer
1989,Region,WFSRCA Region,48021-48031-48053-48055-48149-48209-48287-48299-48491,RESIDUAL,Moodys-County,Moodys,121.45107808277837,Peer
2013,National,US,00,NPOPCHG,Census-County-State-US,PEP_Vintage_2020,2182285.0,Benchmark
2021,Metropolitan Statistical Area,Dallas MSA,19100,NATURALCHG,Census-CBSA,PEP_Vintage_2025,34817.0,Peer
1985,Metropolitan Statistical Area,Houston MSA,26420,INTERNATIONALMIG,Moodys-CBSA,Moodys,-60202.961225719744,Peer
1983,Metropolitan Statistical Area,Dallas MSA,19100,POPESTIMATE,Moodys-CBSA,Moodys,3340544.189501452,Peer
2011,Metropolitan Statistical Area,San Antonio MSA,41700,BIRTHS,Census-CBSA,PEP_Vintage_2020,31253.0,Peer
2015,State,Texas,48,NETMIG,Census-County-State-US,PEP_Vintage_2020,289448.0,Benchmark
1991,Metropolitan Statistical Area,Dallas MSA,19100,INTERNATIONALMIG,Moodys-CBSA,Moodys,32047.48727542481,Peer
2004,Metropolitan Statistical Area,Dallas MSA,19100,POPESTIMATE,Moodys-CBSA,Moodys,5613420.0,Peer
2023,Metropolitan Statistical Area,San Antonio MSA,41700,RESIDUAL,Census-CBSA,PEP_Vintage_2025,188.0,Peer
1993,Metropolitan Statistical Area,San Antonio MSA,41700,DOMESTICMIG,Moodys-CBSA,Moodys,10003.213049369975,Peer
2017,County or Equivalent,Travis County,48453,DOMESTICMIG,Census-County-State-US,PEP_Vintage_2020,5091.0,Focus
1992,Region,WFSRCA Region,48021-48031-48053-48055-48149-48209-48287-48299-48491,RESIDUAL,Moodys-County,Moodys,129.6366014896579,Peer
2019,Metropolitan Statistical Area,San Antonio MSA,41700,NATURALCHG,Census-CBSA,PEP_Vintage_2020,13734.0,Peer
2022,County or Equivalent,Travis County,48453,RDOMESTICMIG,Census-County-State-US,PEP_Vintage_2025,1.794215639,Focus
2013,Metropolitan Statistical Area,Austin MSA,12420,NETMIG,Census-CBSA,PEP_Vintage_2020,31916.0,Broad
1997,Metropolitan Statistical Area,Dallas MSA,19100,INTERNATIONALMIG,Moodys-CBSA,Moodys,49915.00762260878,Peer
1984,Metropolitan Statistical Area,San Antonio MSA,41700,INTERNATIONALMIG,Moodys-CBSA,Moodys,761.8383318104002,Peer
2017,County or Equivalent,Travis County,48453,POPESTIMATE,Census-County-State-US,PEP_Vintage_2020,1227373.0,Focus
2016,Region,WFSRCA Region,48021-48031-48053-48055-48149-48209-48287-48299-48491,NETMIG,Census-County-State-US,PEP_Vintage_2020,29843.0,Peer
2017,Metropolitan Statistical Area,San Antonio MSA,41700,RDEATH,Census-CBSA,PEP_Vintage_2020,65.81991193,Peer
1986,Metropolitan Statistical Area,Dallas MSA,19100,RESIDUAL,Moodys-CBSA,Moodys,1331.9860912727513,Peer
1989,Metropolitan Statistical Area,San Antonio MSA,41700,POPESTIMATE,Moodys-CBSA,Moodys,1401281.4239189047,Peer
1981,Metropolitan Statistical Area,Austin MSA,12420,DEATHS,Moodys-CBSA,Moodys,-3622.7064793265345,Broad
2001,Metropolitan Statistical Area,Austin MSA,12420,RESIDUAL,Moodys-CBSA,Moodys,-626.9999999999998,Broad
2021,State,Texas,48,RNETMIG,Census-County-State-US,PEP_Vintage_2025,8.2584138323,Benchmark
2025,Metropolitan Statistical Area,Houston MSA,26420,GQESTIMATES,Census-CBSA,PEP_Vintage_2025,89516.0,Peer
2015,State,Texas,48,RDOMESTICMIG,Census-County-State-US,PEP_Vintage_2020,6.3265796796,Benchmark
1999,Metropolitan Statistical Area,Dallas MSA,19100,DEATHS,Moodys-CBSA,Moodys,-30304.245833140034,Peer
1986,Metropolitan Statistical Area,Houston MSA,26420,BIRTHS,Moodys-CBSA,Moodys,69695.15140024143,Peer
2013,Metropolitan Statistical Area,Dallas MSA,19100,NPOPCHG,Census-CBSA,PEP_Vintage_2020,109285.0,Peer
2023,Metropolitan Statistical Area,Dallas MSA,19100,NPOPCHG,Census-CBSA,PEP_Vintage_2025,191488.0,Peer
2022,Region,WFSRCA Region,48021-48031-48053-48055-48149-48209-48287-48299-48491,RDEATH,Census-County-State-US,PEP_Vintage_2025,101.486308227,Peer
1997,State,Texas,48,RESIDUAL,Moodys-State,Moodys,7046.000000000004,Benchmark
1984,National,US,00,NATURALCHG,Moodys-US,Moodys,1580985.8059623141,Benchmark
2010,Metropolitan Statistical Area,Houston MSA,26420,CENSUS,Census-CBSA,PEP_Vintage_2020,5946800.0,Peer
2002,Region,WFSRCA Region,48021-48031-48053-48055-48149-48209-48287-48299-48491,NATURALCHG,Moodys-County,Moodys,5405.249685746789,Peer
2014,State,Texas,48,POPESTIMATE,Census-County-State-US,PEP_Vintage_2020,26963092.0,Benchmark
1985,Metropolitan Statistical Area,Dallas MSA,19100,POPESTIMATE,Moodys-CBSA,Moodys,3596181.707063684,Peer
2021,Metropolitan Statistical Area,Austin MSA,12420,DOMESTICMIG,Census-CBSA,PEP_Vintage_2025,44254.0,Broad
2023,County or Equivalent,Travis County,48453,NATURALCHG,Census-County-State-US,PEP_Vintage_2025,9559.0,Focus
1990,State,Texas,48,NATURALCHG,Moodys-State,Moodys,183960.6159280541,Benchmark
1995,County or Equivalent,Travis County,48453,INTERNATIONALMIG,Moodys-County,Moodys,10418.431695305311,Focus
1988,State,Texas,48,POPESTIMATE,Moodys-State,Moodys,16667019.531249994,Benchmark
2017,Region,WFSRCA Region,48021-48031-48053-48055-48149-48209-48287-48299-48491,RNATURALCHG,Census-County-State-US,PEP_Vintage_2020,9.0137750152,Peer
2025,Metropolitan Statistical Area,Dallas MSA,19100,RDOMESTICMIG,Census-CBSA,PEP_Vintage_2025,216.53758439400002,Peer
2012,County or Equivalent,Travis County,48453,RBIRTH,Census-County-State-US,PEP_Vintage_2020,14.431709735,Focus
1997,County or Equivalent,Travis County,48453,INTERNATIONALMIG,Moodys-County,Moodys,10358.82134811465,Focus
1993,Region,WFSRCA Region,48021-48031-48053-48055-48149-48209-48287-48299-48491,NATURALCHG,Moodys-County,Moodys,2519.559773695747,Peer
2021,Metropolitan Statistical Area,Austin MSA,12420,RDOMESTICMIG,Census-CBSA,PEP_Vintage_2025,147.413281072,Broad
1996,Metropolitan Statistical Area,San Antonio MSA,41700,POPESTIMATE,Moodys-CBSA,Moodys,1599427.000854527,Peer
2013,Metropolitan Statistical Area,Austin MSA,12420,BIRTHS,Census-CBSA,PEP_Vintage_2020,25351.0,Broad
2010,Metropolitan Statistical Area,Houston MSA,26420,GQESTIMATES,Census-CBSA,PEP_Vintage_2020,78041.0,Peer
2019,National,US,00,RDEATH,Census-County-State-US,PEP_Vintage_2020,8.6917594859,Benchmark
1995,County or Equivalent,Travis County,48453,NATURALCHG,Moodys-County,Moodys,7528.030006310247,Focus
2011,Region,WFSRCA Region,48021-48031-48053-48055-48149-48209-48287-48299-48491,RNETMIG,Census-County-State-US,PEP_Vintage_2020,77.9126749832,Peer
2006,County or Equivalent,Travis County,48453,INTERNATIONALMIG,Moodys-County,Moodys,6777.8796680552105,Focus
2003,National,US,00,BIRTHS,Moodys-US,Moodys,4050425.3414235706,Benchmark
2022,County or Equivalent,Travis County,48453,INTERNATIONALMIG,Census-County-State-US,PEP_Vintage_2025,15376.0,Focus
2007,Region,WFSRCA Region,48021-48031-48053-48055-48149-48209-48287-48299-48491,DOMESTICMIG,Moodys-County,Moodys,26000.057296024796,Peer
1987,Metropolitan Statistical Area,Austin MSA,12420,DEATHS,Moodys-CBSA,Moodys,-4413.283577435356,Broad
1988,Metropolitan Statistical Area,Dallas MSA,19100,DOMESTICMIG,Moodys-CBSA,Moodys,-17772.753735420043,Peer
2020,Metropolitan Statistical Area,Austin MSA,12420,GQESTIMATES,Census-CBSA,PEP_Vintage_2025,50330.0,Broad
1985,National,US,00,DEATHS,Moodys-US,Moodys,-2069124.2852979929,Benchmark
2014,National,US,00,NPOPCHG,Census-County-State-US,PEP_Vintage_2020,2326382.0,Benchmark
1993,Metropolitan Statistical Area,San Antonio MSA,41700,DEATHS,Moodys-CBSA,Moodys,-10999.257273873487,Peer
2003,Metropolitan Statistical Area,Dallas MSA,19100,INTERNATIONALMIG,Moodys-CBSA,Moodys,35173.291576623866,Peer
2021,Metropolitan Statistical Area,Houston MSA,26420,DOMESTICMIG,Census-CBSA,PEP_Vintage_2025,26259.0,Peer
2025,Metropolitan Statistical Area,Austin MSA,12420,DEATHS,Census-CBSA,PEP_Vintage_2025,-13692.0,Broad
2004,Region,WFSRCA Region,48021-48031-48053-48055-48149-48209-48287-48299-48491,NATURALCHG,Moodys-County,Moodys,5332.542367131345,Peer
1993,Metropolitan Statistical Area,Austin MSA,12420,POPESTIMATE,Moodys-CBSA,Moodys,949787.9734055095,Broad
2005,Metropolitan Statistical Area,Austin MSA,12420,INTERNATIONALMIG,Moodys-CBSA,Moodys,7238.375599233198,Broad
1992,Metropolitan Statistical Area,Dallas MSA,19100,BIRTHS,Moodys-CBSA,Moodys,75917.69793990732,Peer
2013,Metropolitan Statistical Area,Houston MSA,26420,INTERNATIONALMIG,Census-CBSA,PEP_Vintage_2020,31697.0,Peer
2012,National,US,00,RNATURALCHG,Census-County-State-US,PEP_Vintage_2020,4.5900373383,Benchmark
1985,Metropolitan Statistical Area,Austin MSA,12420,RESIDUAL,Moodys-CBSA,Moodys,270.76850828858676,Broad
1984,Metropolitan Statistical Area,Dallas MSA,19100,DOMESTICMIG,Moodys-CBSA,Moodys,31506.884776924315,Peer
2014,Metropolitan Statistical Area,Houston MSA,26420,INTERNATIONALMIG,Census-CBSA,PEP_Vintage_2020,42699.0,Peer
2022,Region,WFSRCA Region,48021-48031-48053-48055-48149-48209-48287-48299-48491,POPESTIMATE,Census-County-State-US,PEP_Vintage_2025,1229368.0,Peer
2017,Metropolitan Statistical Area,San Antonio MSA,41700,DEATHS,Census-CBSA,PEP_Vintage_2020,-17426.0,Peer
2003,County or Equivalent,Travis County,48453,RESIDUAL,Moodys-County,Moodys,-953.999999999999,Focus
2023,National,US,00,POPESTIMATE,Census-County-State-US,PEP_Vintage_2025,336755052.0,Benchmark
2022,State,Texas,48,GQESTIMATES,Census-County-State-US,PEP_Vintage_2025,610002.0,Benchmark
2002,Region,WFSRCA Region,48021-48031-48053-48055-48149-48209-48287-48299-48491,POPESTIMATE,Moodys-County,Moodys,602202.9999999999,Peer
1982,Metropolitan Statistical Area,Austin MSA,12420,INTERNATIONALMIG,Moodys-CBSA,Moodys,-47755.21542833264,Broad
2014,Region,WFSRCA Region,48021-48031-48053-48055-48149-48209-48287-48299-48491,RBIRTH,Census-County-State-US,PEP_Vintage_2020,99.5521831831,Peer
2018,State,Texas,48,RNATURALCHG,Census-County-State-US,PEP_Vintage_2020,6.2959904763,Benchmark
2020,Region,WFSRCA Region,48021-48031-48053-48055-48149-48209-48287-48299-48491,NETMIG,Census-County-State-US,PEP_Vintage_2025,10743.0,Peer
2022,Metropolitan Statistical Area,Dallas MSA,19100,RNATURALCHG,Census-CBSA,PEP_Vintage_2025,42.453755289,Peer
1990,Metropolitan Statistical Area,Houston MSA,26420,DEATHS,Moodys-CBSA,Moodys,-23419.72364084145,Peer
1992,Metropolitan Statistical Area,Houston MSA,26420,INTERNATIONALMIG,Moodys-CBSA,Moodys,33906.4831917178,Peer
1991,Metropolitan Statistical Area,Houston MSA,26420,NATURALCHG,Moodys-CBSA,Moodys,50172.96946702889,Peer
2001,Metropolitan Statistical Area,Houston MSA,26420,DOMESTICMIG,Moodys-CBSA,Moodys,-3827.154644952403,Peer
1981,Region,WFSRCA Region,48021-48031-48053-48055-48149-48209-48287-48299-48491,POPESTIMATE,Moodys-County,Moodys,240627.68010791027,Peer
1988,Metropolitan Statistical Area,Dallas MSA,19100,RESIDUAL,Moodys-CBSA,Moodys,1377.3889920105419,Peer
2013,Metropolitan Statistical Area,Austin MSA,12420,RDEATH,Census-CBSA,PEP_Vintage_2020,29.8835673712,Broad
2017,Metropolitan Statistical Area,Austin MSA,12420,BIRTHS,Census-CBSA,PEP_Vintage_2020,26071.0,Broad
1988,Metropolitan Statistical Area,San Antonio MSA,41700,NATURALCHG,Moodys-CBSA,Moodys,15595.699311066124,Peer
1995,Metropolitan Statistical Area,Austin MSA,12420,DOMESTICMIG,Moodys-CBSA,Moodys,20068.82962299357,Broad
2018,Metropolitan Statistical Area,Austin MSA,12420,RESIDUAL,Census-CBSA,PEP_Vintage_2020,153.0,Broad
1981,Metropolitan Statistical Area,Austin MSA,12420,NATURALCHG,Moodys-CBSA,Moodys,6472.109668874858,Broad
2013,Metropolitan Statistical Area,Houston MSA,26420,NATURALCHG,Census-CBSA,PEP_Vintage_2020,57289.0,Peer
2019,State,Texas,48,POPESTIMATE,Census-County-State-US,PEP_Vintage_2020,28986794.0,Benchmark
1991,National,US,00,NATURALCHG,Moodys-US,Moodys,2001053.809052832,Benchmark
1995,Metropolitan Statistical Area,San Antonio MSA,41700,NATURALCHG,Moodys-CBSA,Moodys,15602.223617127018,Peer
2007,Metropolitan Statistical Area,Dallas MSA,19100,DOMESTICMIG,Moodys-CBSA,Moodys,31900.287105528125,Peer
2003,Metropolitan Statistical Area,Austin MSA,12420,RESIDUAL,Moodys-CBSA,Moodys,-799.9999999999992,Broad
1999,Metropolitan Statistical Area,Austin MSA,12420,RESIDUAL,Moodys-CBSA,Moodys,430.4302389224158,Broad
2012,County or Equivalent,Travis County,48453,INTERNATIONALMIG,Census-County-State-US,PEP_Vintage_2020,5004.0,Focus
2023,Metropolitan Statistical Area,Austin MSA,12420,DOMESTICMIG,Census-CBSA,PEP_Vintage_2025,21984.0,Broad
2022,Metropolitan Statistical Area,Dallas MSA,19100,NPOPCHG,Census-CBSA,PEP_Vintage_2025,194808.0,Peer
1991,Metropolitan Statistical Area,Dallas MSA,19100,RESIDUAL,Moodys-CBSA,Moodys,1466.7717499267512,Peer
2018,Place,Austin City,4805000,POPESTIMATE,Census-Place,PEP_Vintage_2020,962800.0,Peer
1988,State,Texas,48,RESIDUAL,Moodys-State,Moodys,5948.999999999998,Benchmark
2002,Metropolitan Statistical Area,Austin MSA,12420,INTERNATIONALMIG,Moodys-CBSA,Moodys,8157.750111095424,Broad
2022,Metropolitan Statistical Area,San Antonio MSA,41700,GQESTIMATES,Census-CBSA,PEP_Vintage_2025,47907.0,Peer
2019,National,US,00,NATURALCHG,Census-County-State-US,PEP_Vintage_2020,923115.0,Benchmark
1995,Metropolitan Statistical Area,Dallas MSA,19100,DOMESTICMIG,Moodys-CBSA,Moodys,10893.275789403357,Peer
2011,Metropolitan Statistical Area,San Antonio MSA,41700,RDEATH,Census-CBSA,PEP_Vintage_2020,64.9328975183,Peer
2008,Metropolitan Statistical Area,Austin MSA,12420,INTERNATIONALMIG,Moodys-CBSA,Moodys,7081.640067937147,Broad
2018,Metropolitan Statistical Area,Houston MSA,26420,NATURALCHG,Census-CBSA,PEP_Vintage_2020,53992.0,Peer
2005,National,US,00,DOMESTICMIG,Moodys-US,Moodys,1127.7186677064597,Benchmark
2001,Metropolitan Statistical Area,San Antonio MSA,41700,RESIDUAL,Moodys-CBSA,Moodys,-1706.9999999999995,Peer
2017,Metropolitan Statistical Area,San Antonio MSA,41700,POPESTIMATE,Census-CBSA,PEP_Vintage_2020,2471603.0,Peer
2018,Metropolitan Statistical Area,San Antonio MSA,41700,INTERNATIONALMIG,Census-CBSA,PEP_Vintage_2020,3015.0,Peer
1983,Metropolitan Statistical Area,Austin MSA,12420,DEATHS,Moodys-CBSA,Moodys,-3944.5719037823746,Broad
1993,National,US,00,INTERNATIONALMIG,Moodys-US,Moodys,1516243.275857784,Benchmark
2020,Metropolitan Statistical Area,San Antonio MSA,41700,NETMIG,Census-CBSA,PEP_Vintage_2025,7542.0,Peer
2004,State,Texas,48,RESIDUAL,Moodys-State,Moodys,554.9999999999792,Benchmark
2003,Metropolitan Statistical Area,Dallas MSA,19100,DOMESTICMIG,Moodys-CBSA,Moodys,-13159.426131314314,Peer
2011,National,US,00,RBIRTH,Census-County-State-US,PEP_Vintage_2020,12.798895192,Benchmark
2021,Metropolitan Statistical Area,Dallas MSA,19100,POPESTIMATE,Census-CBSA,PEP_Vintage_2025,7777844.0,Peer
2010,Metropolitan Statistical Area,Houston MSA,26420,NATURALCHG,Census-CBSA,PEP_Vintage_2020,56168.0,Peer
2004,County or Equivalent,Travis County,48453,DEATHS,Moodys-County,Moodys,-4063.340791305902,Focus
2011,Metropolitan Statistical Area,Houston MSA,26420,INTERNATIONALMIG,Census-CBSA,PEP_Vintage_2020,26021.0,Peer
