,GEO_ID,NAME,Geography Level,Year,Cleaned Field Name,Value,Label,Error Ratio,MOE,Error Category,Sample,Display Name,Role,Field Code
0,2500000US3000,"Puyallup Reservation and Off-Reservation Trust Land, WA",Tribal,2015,DP02_0035,2865.0,Estimate MARITAL STATUS Females 15 years and over Divorced,0.06387434554973823,183.00000000000003,small error,5,Puyallup Reservation,Benchmark,DP02_0035
1,0100000US,United States,US,2015,DP02_0035,15985229.0,Estimate MARITAL STATUS Females 15 years and over Divorced,0.004123556816108171,65916.0,small error,5,United States,Benchmark,DP02_0035
2,310M200US42660,"Seattle-Tacoma-Bellevue, WA Metro Area",MSA,2015,DP02_0035,197418.0,Estimate MARITAL STATUS Females 15 years and over Divorced,0.014152711505536476,2794.0,small error,5,Seattle MSA,Benchmark,DP02_0035
3,0500000US53053,"Pierce County, Washington",County,2015,DP02_0035,49290.0,Estimate MARITAL STATUS Females 15 years and over Divorced,0.028626496246703187,1411.0,small error,5,Pierce County,Broad,DP02_0035
4,0400000US53,Washington,State,2015,DP02_0035,389025.0,Estimate MARITAL STATUS Females 15 years and over Divorced,0.010382366171839855,4038.9999999999995,small error,5,Washington,Benchmark,DP02_0035
5,1600000US5323795,"Fife city, Washington",Place,2015,DP02_0035,594.0,Estimate MARITAL STATUS Females 15 years and over Divorced,0.12626262626262627,75.0,small error,5,"Fife, WA",Focus,DP02_0035
6,2500000US3000,"Puyallup Reservation and Off-Reservation Trust Land, WA",Tribal,2015,DP04_0019P,0.227,Percent YEAR STRUCTURE BUILT Total housing units Built 2000 to 2009,0.04845814977973569,0.011000000000000003,small error,5,Puyallup Reservation,Benchmark,DP04_0019P
7,0100000US,United States,US,2015,DP04_0019P,0.149,Percent YEAR STRUCTURE BUILT Total housing units Built 2000 to 2009,0.006711409395973154,0.001,small error,5,United States,Benchmark,DP04_0019P
8,310M200US42660,"Seattle-Tacoma-Bellevue, WA Metro Area",MSA,2015,DP04_0019P,0.167,Percent YEAR STRUCTURE BUILT Total housing units Built 2000 to 2009,0.011976047904191617,0.002,small error,5,Seattle MSA,Benchmark,DP04_0019P
9,0500000US53053,"Pierce County, Washington",County,2015,DP04_0019P,0.18100000000000002,Percent YEAR STRUCTURE BUILT Total housing units Built 2000 to 2009,0.022099447513812154,0.004,small error,5,Pierce County,Broad,DP04_0019P
10,0400000US53,Washington,State,2015,DP04_0019P,0.16899999999999998,Percent YEAR STRUCTURE BUILT Total housing units Built 2000 to 2009,0.00591715976331361,0.001,small error,5,Washington,Benchmark,DP04_0019P
11,1600000US5323795,"Fife city, Washington",Place,2015,DP04_0019P,0.48,Percent YEAR STRUCTURE BUILT Total housing units Built 2000 to 2009,0.0625,0.03,small error,5,"Fife, WA",Focus,DP04_0019P
12,2500000US3000,"Puyallup Reservation and Off-Reservation Trust Land, WA",Tribal,2015,DP03_0117,2493.0,Estimate HEALTH INSURANCE COVERAGE Civilian noninstitutionalized population 18 to 64 years Not in labor force With health insurance coverage With public coverage,0.09065383072603289,226.0,small error,5,Puyallup Reservation,Benchmark,DP03_0117
13,0100000US,United States,US,2015,DP03_0117,16230369.0,Estimate HEALTH INSURANCE COVERAGE Civilian noninstitutionalized population 18 to 64 years Not in labor force With health insurance coverage With public coverage,0.004636924767391302,75259.0,small error,5,United States,Benchmark,DP03_0117
14,310M200US42660,"Seattle-Tacoma-Bellevue, WA Metro Area",MSA,2015,DP03_0117,149327.0,Estimate HEALTH INSURANCE COVERAGE Civilian noninstitutionalized population 18 to 64 years Not in labor force With health insurance coverage With public coverage,0.01622613459052951,2423.0,small error,5,Seattle MSA,Benchmark,DP03_0117
15,0500000US53053,"Pierce County, Washington",County,2015,DP03_0117,47086.0,Estimate HEALTH INSURANCE COVERAGE Civilian noninstitutionalized population 18 to 64 years Not in labor force With health insurance coverage With public coverage,0.03368304803975704,1586.0,small error,5,Pierce County,Broad,DP03_0117
16,0400000US53,Washington,State,2015,DP03_0117,347739.0,Estimate HEALTH INSURANCE COVERAGE Civilian noninstitutionalized population 18 to 64 years Not in labor force With health insurance coverage With public coverage,0.011707056154184605,4071.0000000000005,small error,5,Washington,Benchmark,DP03_0117
17,1600000US5323795,"Fife city, Washington",Place,2015,DP03_0117,435.0,Estimate HEALTH INSURANCE COVERAGE Civilian noninstitutionalized population 18 to 64 years Not in labor force With health insurance coverage With public coverage,0.2413793103448276,105.0,small error,5,"Fife, WA",Focus,DP03_0117
18,2500000US3000,"Puyallup Reservation and Off-Reservation Trust Land, WA",Tribal,2015,DP04_0003,1179.0,Estimate HOUSING OCCUPANCY Total housing units Vacant housing units,0.13401187446988974,158.0,small error,5,Puyallup Reservation,Benchmark,DP04_0003
19,0100000US,United States,US,2015,DP04_0003,16425535.0,Estimate HOUSING OCCUPANCY Total housing units Vacant housing units,0.013384525983476338,219848.0,small error,5,United States,Benchmark,DP04_0003
20,310M200US42660,"Seattle-Tacoma-Bellevue, WA Metro Area",MSA,2015,DP04_0003,99349.0,Estimate HOUSING OCCUPANCY Total housing units Vacant housing units,0.0338906279882032,3366.9999999999995,small error,5,Seattle MSA,Benchmark,DP04_0003
21,0500000US53053,"Pierce County, Washington",County,2015,DP04_0003,27783.0,Estimate HOUSING OCCUPANCY Total housing units Vacant housing units,0.048842817550300545,1357.0,small error,5,Pierce County,Broad,DP04_0003
22,0400000US53,Washington,State,2015,DP04_0003,273215.0,Estimate HOUSING OCCUPANCY Total housing units Vacant housing units,0.02183262265981004,5965.0,small error,5,Washington,Benchmark,DP04_0003
23,1600000US5323795,"Fife city, Washington",Place,2015,DP04_0003,269.0,Estimate HOUSING OCCUPANCY Total housing units Vacant housing units,0.2862453531598513,77.0,medium error,5,"Fife, WA",Focus,DP04_0003
24,2500000US3000,"Puyallup Reservation and Off-Reservation Trust Land, WA",Tribal,2015,DP05_0003P,0.502,Percent SEX AND AGE Total population Female,0.01394422310756972,0.006999999999999999,small error,5,Puyallup Reservation,Benchmark,DP05_0003P
25,0100000US,United States,US,2015,DP05_0003P,0.508,Percent SEX AND AGE Total population Female,0.0019685039370078744,0.0010000000000000002,small error,5,United States,Benchmark,DP05_0003P
26,310M200US42660,"Seattle-Tacoma-Bellevue, WA Metro Area",MSA,2015,DP05_0003P,0.501,Percent SEX AND AGE Total population Female,0.0019960079840319364,0.0010000000000000002,small error,5,Seattle MSA,Benchmark,DP05_0003P
27,0500000US53053,"Pierce County, Washington",County,2015,DP05_0003P,0.503,Percent SEX AND AGE Total population Female,0.0,0.0,error not determined,5,Pierce County,Broad,DP05_0003P
28,0400000US53,Washington,State,2015,DP05_0003P,0.501,Percent SEX AND AGE Total population Female,0.0019960079840319364,0.0010000000000000002,small error,5,Washington,Benchmark,DP05_0003P
29,1600000US5323795,"Fife city, Washington",Place,2015,DP05_0003P,0.503,Percent SEX AND AGE Total population Female,0.03578528827037774,0.018000000000000002,small error,5,"Fife, WA",Focus,DP05_0003P
30,2500000US3000,"Puyallup Reservation and Off-Reservation Trust Land, WA",Tribal,2015,DP04_0009,627.0,Estimate UNITS IN STRUCTURE Total housing units 2 units,0.16905901116427433,106.0,small error,5,Puyallup Reservation,Benchmark,DP04_0009
31,0100000US,United States,US,2015,DP04_0009,4971562.0,Estimate UNITS IN STRUCTURE Total housing units 2 units,0.005953058616185416,29596.0,small error,5,United States,Benchmark,DP04_0009
32,310M200US42660,"Seattle-Tacoma-Bellevue, WA Metro Area",MSA,2015,DP04_0009,35108.0,Estimate UNITS IN STRUCTURE Total housing units 2 units,0.034977782841517605,1228.0,small error,5,Seattle MSA,Benchmark,DP04_0009
33,0500000US53053,"Pierce County, Washington",County,2015,DP04_0009,10636.0,Estimate UNITS IN STRUCTURE Total housing units 2 units,0.06421587062805566,683.0,small error,5,Pierce County,Broad,DP04_0009
34,0400000US53,Washington,State,2015,DP04_0009,76903.0,Estimate UNITS IN STRUCTURE Total housing units 2 units,0.028282381701624122,2175.0,small error,5,Washington,Benchmark,DP04_0009
35,1600000US5323795,"Fife city, Washington",Place,2015,DP04_0009,64.0,Estimate UNITS IN STRUCTURE Total housing units 2 units,0.421875,27.0,medium error,5,"Fife, WA",Focus,DP04_0009
36,2500000US3000,"Puyallup Reservation and Off-Reservation Trust Land, WA",Tribal,2015,B25004_002,354.0,Estimate Total For rent,0.2768361581920904,98.0,medium error,5,Puyallup Reservation,Benchmark,B25004_002
37,0100000US,United States,US,2015,B25004_002,2949366.0,Estimate Total For rent,0.01705756423583916,50309.00000000001,small error,5,United States,Benchmark,B25004_002
38,310M200US42660,"Seattle-Tacoma-Bellevue, WA Metro Area",MSA,2015,B25004_002,23336.0,Estimate Total For rent,0.062135755913609876,1450.0,small error,5,Seattle MSA,Benchmark,B25004_002
