Name,Role,Code,Type,median_listing_price,median_days_on_market,median_listing_price_per_square_foot,median_square_feet,total_listing_count,month_date_yyyymm,ACS_Year,ACS_Sample,CPI_Flag,geography_level,Estimate VALUE Owner-occupied units,Estimate GROSS RENT Occupied units paying rent,Estimate HOUSEHOLDS BY TYPE Total households,Calc-Median HH Income,Calc-Median Fam Income,Calc-Median Value of Owned Units,Calc-Median Monthly Rent,Calc-Fam
"Fife, WA",Focus,98424,Custom-ZIP,289500.0,19.0,153.0,1906.0,19.0,201607,2016,5,1,ZIP,1335.0,2154.0,3516.0,56871.0,67262.0,229100.0,1044.0,2212.0
"Fife, WA",Focus,98424,Custom-ZIP,298712.0,18.0,156.0,1843.0,17.0,201608,2016,5,1,ZIP,1335.0,2154.0,3516.0,56871.0,67262.0,229100.0,1044.0,2212.0
"Fife, WA",Focus,98424,Custom-ZIP,288425.0,21.0,157.0,1778.0,16.0,201609,2016,5,1,ZIP,1335.0,2154.0,3516.0,56871.0,67262.0,229100.0,1044.0,2212.0
"Fife, WA",Focus,98424,Custom-ZIP,288900.0,18.0,155.0,1874.0,13.0,201610,2016,5,1,ZIP,1335.0,2154.0,3516.0,56871.0,67262.0,229100.0,1044.0,2212.0
"Fife, WA",Focus,98424,Custom-ZIP,264463.0,24.0,155.0,1802.0,16.0,201611,2016,5,1,ZIP,1335.0,2154.0,3516.0,56871.0,67262.0,229100.0,1044.0,2212.0
"Fife, WA",Focus,98424,Custom-ZIP,295000.0,46.0,154.0,1836.0,9.0,201612,2016,5,1,ZIP,1335.0,2154.0,3516.0,56871.0,67262.0,229100.0,1044.0,2212.0
"Fife, WA",Focus,98424,Custom-ZIP,222500.0,21.0,150.0,1874.0,6.0,201701,2017,5,1,ZIP,1406.0,2180.0,3628.0,58649.0,73189.0,243200.0,1125.0,2263.0
"Fife, WA",Focus,98424,Custom-ZIP,322463.0,10.0,150.0,2259.0,5.0,201702,2017,5,1,ZIP,1406.0,2180.0,3628.0,58649.0,73189.0,243200.0,1125.0,2263.0
"Fife, WA",Focus,98424,Custom-ZIP,296588.0,4.0,169.0,1753.0,6.0,201703,2017,5,1,ZIP,1406.0,2180.0,3628.0,58649.0,73189.0,243200.0,1125.0,2263.0
"Fife, WA",Focus,98424,Custom-ZIP,315000.0,3.0,166.0,1901.0,5.0,201704,2017,5,1,ZIP,1406.0,2180.0,3628.0,58649.0,73189.0,243200.0,1125.0,2263.0
"Fife, WA",Focus,98424,Custom-ZIP,318738.0,5.0,168.0,1844.0,4.0,201705,2017,5,1,ZIP,1406.0,2180.0,3628.0,58649.0,73189.0,243200.0,1125.0,2263.0
"Fife, WA",Focus,98424,Custom-ZIP,358000.0,8.0,164.0,2054.0,12.0,201706,2017,5,1,ZIP,1406.0,2180.0,3628.0,58649.0,73189.0,243200.0,1125.0,2263.0
"Fife, WA",Focus,98424,Custom-ZIP,354975.0,11.0,175.0,2105.0,16.0,201707,2017,5,1,ZIP,1406.0,2180.0,3628.0,58649.0,73189.0,243200.0,1125.0,2263.0
"Fife, WA",Focus,98424,Custom-ZIP,352213.0,22.0,167.0,2259.0,20.0,201708,2017,5,1,ZIP,1406.0,2180.0,3628.0,58649.0,73189.0,243200.0,1125.0,2263.0
"Fife, WA",Focus,98424,Custom-ZIP,354475.0,38.0,166.0,2262.0,26.0,201709,2017,5,1,ZIP,1406.0,2180.0,3628.0,58649.0,73189.0,243200.0,1125.0,2263.0
"Fife, WA",Focus,98424,Custom-ZIP,321850.0,50.0,170.0,2129.0,20.0,201710,2017,5,1,ZIP,1406.0,2180.0,3628.0,58649.0,73189.0,243200.0,1125.0,2263.0
"Fife, WA",Focus,98424,Custom-ZIP,343000.0,41.0,168.0,2216.0,22.0,201711,2017,5,1,ZIP,1406.0,2180.0,3628.0,58649.0,73189.0,243200.0,1125.0,2263.0
"Fife, WA",Focus,98424,Custom-ZIP,359000.0,37.0,167.0,2307.0,16.0,201712,2017,5,1,ZIP,1406.0,2180.0,3628.0,58649.0,73189.0,243200.0,1125.0,2263.0
"Fife, WA",Focus,98424,Custom-ZIP,377488.0,57.0,169.0,2334.0,11.0,201801,2018,5,1,ZIP,1419.0,2249.0,3688.0,61447.0,75899.0,270900.0,1232.0,2291.0
"Fife, WA",Focus,98424,Custom-ZIP,428588.0,42.0,179.0,2319.0,14.0,201802,2018,5,1,ZIP,1419.0,2249.0,3688.0,61447.0,75899.0,270900.0,1232.0,2291.0
"Fife, WA",Focus,98424,Custom-ZIP,411975.0,24.0,193.0,1987.0,14.0,201803,2018,5,1,ZIP,1419.0,2249.0,3688.0,61447.0,75899.0,270900.0,1232.0,2291.0
"Fife, WA",Focus,98424,Custom-ZIP,368725.0,31.0,194.0,1898.0,19.0,201804,2018,5,1,ZIP,1419.0,2249.0,3688.0,61447.0,75899.0,270900.0,1232.0,2291.0
"Fife, WA",Focus,98424,Custom-ZIP,374850.0,18.0,209.0,1911.0,21.0,201805,2018,5,1,ZIP,1419.0,2249.0,3688.0,61447.0,75899.0,270900.0,1232.0,2291.0
"Fife, WA",Focus,98424,Custom-ZIP,352500.0,28.0,213.0,1855.0,27.0,201806,2018,5,1,ZIP,1419.0,2249.0,3688.0,61447.0,75899.0,270900.0,1232.0,2291.0
"Fife, WA",Focus,98424,Custom-ZIP,345250.0,17.0,195.0,1820.0,38.0,201807,2018,5,1,ZIP,1419.0,2249.0,3688.0,61447.0,75899.0,270900.0,1232.0,2291.0
"Fife, WA",Focus,98424,Custom-ZIP,361225.0,32.0,188.0,1918.0,40.0,201808,2018,5,1,ZIP,1419.0,2249.0,3688.0,61447.0,75899.0,270900.0,1232.0,2291.0
"Fife, WA",Focus,98424,Custom-ZIP,359950.0,44.0,187.0,1913.0,31.0,201809,2018,5,1,ZIP,1419.0,2249.0,3688.0,61447.0,75899.0,270900.0,1232.0,2291.0
"Fife, WA",Focus,98424,Custom-ZIP,390000.0,44.0,183.0,2040.0,25.0,201810,2018,5,1,ZIP,1419.0,2249.0,3688.0,61447.0,75899.0,270900.0,1232.0,2291.0
"Fife, WA",Focus,98424,Custom-ZIP,388500.0,60.0,174.0,2184.0,21.0,201811,2018,5,1,ZIP,1419.0,2249.0,3688.0,61447.0,75899.0,270900.0,1232.0,2291.0
"Fife, WA",Focus,98424,Custom-ZIP,410000.0,57.0,178.0,2239.0,15.0,201812,2018,5,1,ZIP,1419.0,2249.0,3688.0,61447.0,75899.0,270900.0,1232.0,2291.0
"Fife, WA",Focus,98424,Custom-ZIP,382475.0,55.0,198.0,2039.0,10.0,201901,2019,5,1,ZIP,1530.0,2235.0,3787.0,66144.0,79063.0,288500.0,1351.0,2274.0
"Fife, WA",Focus,98424,Custom-ZIP,399000.0,13.0,203.0,2065.0,12.0,201902,2019,5,1,ZIP,1530.0,2235.0,3787.0,66144.0,79063.0,288500.0,1351.0,2274.0
"Fife, WA",Focus,98424,Custom-ZIP,384786.0,7.0,195.0,1901.0,13.0,201903,2019,5,1,ZIP,1530.0,2235.0,3787.0,66144.0,79063.0,288500.0,1351.0,2274.0
"Fife, WA",Focus,98424,Custom-ZIP,384286.0,8.0,219.0,1911.0,15.0,201904,2019,5,1,ZIP,1530.0,2235.0,3787.0,66144.0,79063.0,288500.0,1351.0,2274.0
"Fife, WA",Focus,98424,Custom-ZIP,404500.0,16.0,209.0,2181.0,18.0,201905,2019,5,1,ZIP,1530.0,2235.0,3787.0,66144.0,79063.0,288500.0,1351.0,2274.0
"Fife, WA",Focus,98424,Custom-ZIP,410000.0,19.0,192.0,2236.0,22.0,201906,2019,5,1,ZIP,1530.0,2235.0,3787.0,66144.0,79063.0,288500.0,1351.0,2274.0
"Fife, WA",Focus,98424,Custom-ZIP,412470.0,38.0,188.0,2325.0,21.0,201907,2019,5,1,ZIP,1530.0,2235.0,3787.0,66144.0,79063.0,288500.0,1351.0,2274.0
"Fife, WA",Focus,98424,Custom-ZIP,433346.0,40.0,201.0,2390.0,21.0,201908,2019,5,1,ZIP,1530.0,2235.0,3787.0,66144.0,79063.0,288500.0,1351.0,2274.0
"Fife, WA",Focus,98424,Custom-ZIP,428623.0,33.0,196.0,2457.0,27.0,201909,2019,5,1,ZIP,1530.0,2235.0,3787.0,66144.0,79063.0,288500.0,1351.0,2274.0
"Fife, WA",Focus,98424,Custom-ZIP,424963.0,31.0,194.0,2510.0,29.0,201910,2019,5,1,ZIP,1530.0,2235.0,3787.0,66144.0,79063.0,288500.0,1351.0,2274.0
"Fife, WA",Focus,98424,Custom-ZIP,474500.0,42.0,202.0,2208.0,28.0,201911,2019,5,1,ZIP,1530.0,2235.0,3787.0,66144.0,79063.0,288500.0,1351.0,2274.0
"Fife, WA",Focus,98424,Custom-ZIP,518675.0,74.0,195.0,2493.0,24.0,201912,2019,5,1,ZIP,1530.0,2235.0,3787.0,66144.0,79063.0,288500.0,1351.0,2274.0
"Fife, WA",Focus,98424,Custom-ZIP,488958.0,55.0,185.0,2394.0,14.0,202001,2020,5,1,ZIP,1684.0,2189.0,3901.0,75151.0,88003.0,325500.0,1428.0,2435.0
"Fife, WA",Focus,98424,Custom-ZIP,422500.0,34.0,191.0,2129.0,12.0,202002,2020,5,1,ZIP,1684.0,2189.0,3901.0,75151.0,88003.0,325500.0,1428.0,2435.0
"Fife, WA",Focus,98424,Custom-ZIP,432738.0,9.0,200.0,2011.0,21.0,202003,2020,5,1,ZIP,1684.0,2189.0,3901.0,75151.0,88003.0,325500.0,1428.0,2435.0
"Fife, WA",Focus,98424,Custom-ZIP,432250.0,22.0,208.0,1960.0,18.0,202004,2020,5,1,ZIP,1684.0,2189.0,3901.0,75151.0,88003.0,325500.0,1428.0,2435.0
"Fife, WA",Focus,98424,Custom-ZIP,417450.0,24.0,192.0,2100.0,18.0,202005,2020,5,1,ZIP,1684.0,2189.0,3901.0,75151.0,88003.0,325500.0,1428.0,2435.0
"Fife, WA",Focus,98424,Custom-ZIP,457499.0,29.0,216.0,1880.0,20.0,202006,2020,5,1,ZIP,1684.0,2189.0,3901.0,75151.0,88003.0,325500.0,1428.0,2435.0
"Fife, WA",Focus,98424,Custom-ZIP,442500.0,14.0,220.0,1935.0,19.0,202007,2020,5,1,ZIP,1684.0,2189.0,3901.0,75151.0,88003.0,325500.0,1428.0,2435.0
"Fife, WA",Focus,98424,Custom-ZIP,435000.0,14.0,244.0,1884.0,26.0,202008,2020,5,1,ZIP,1684.0,2189.0,3901.0,75151.0,88003.0,325500.0,1428.0,2435.0
"Fife, WA",Focus,98424,Custom-ZIP,458750.0,34.0,234.0,1908.0,23.0,202009,2020,5,1,ZIP,1684.0,2189.0,3901.0,75151.0,88003.0,325500.0,1428.0,2435.0
"Fife, WA",Focus,98424,Custom-ZIP,499975.0,48.0,253.0,1947.0,20.0,202010,2020,5,1,ZIP,1684.0,2189.0,3901.0,75151.0,88003.0,325500.0,1428.0,2435.0
"Fife, WA",Focus,98424,Custom-ZIP,514250.0,47.0,299.0,1770.0,19.0,202011,2020,5,1,ZIP,1684.0,2189.0,3901.0,75151.0,88003.0,325500.0,1428.0,2435.0
