Year,Geography Level,NAME,FIPS,Value Type,Source,Dataset,Values,Role
2016,Region,Puget Sound Region,53033-53035-53053-53061,RNATURALCHG,Census-County-State-US,PEP_Vintage_2020,21.9875321559,Benchmark
1987,State,Washington,53,DOMESTICMIG,Moodys-State,Moodys,38658.53262028761,Benchmark
2007,County or Equivalent,Pierce County,53053,NATURALCHG,Moodys-County,Moodys,5751.497500038851,Broad
1991,State,Washington,53,DEATHS,Moodys-State,Moodys,-37134.370184842934,Benchmark
2011,Region,Puget Sound Region,53033-53035-53053-53061,RNETMIG,Census-County-State-US,PEP_Vintage_2020,31.2606207224,Benchmark
2013,County or Equivalent,Pierce County,53053,RNATURALCHG,Census-County-State-US,PEP_Vintage_2020,6.2354962711,Broad
2003,National,United States,00,INTERNATIONALMIG,Moodys-US,Moodys,784320.7140584573,Benchmark
2011,Region,Puget Sound Region,53033-53035-53053-53061,NETMIG,Census-County-State-US,PEP_Vintage_2020,35008.0,Benchmark
2025,County or Equivalent,Pierce County,53053,NATURALCHG,Census-County-State-US,PEP_Vintage_2025,2626.0,Broad
1998,Metropolitan Statistical Area,Seattle MSA,42660,BIRTHS,Moodys-CBSA,Moodys,40975.304438261985,Benchmark
2000,Metropolitan Statistical Area,Seattle MSA,42660,DEATHS,Moodys-CBSA,Moodys,-20941.91587633588,Benchmark
2004,National,United States,00,INTERNATIONALMIG,Moodys-US,Moodys,966214.9186542013,Benchmark
2013,State,Washington,53,RINTERNATIONALMIG,Census-County-State-US,PEP_Vintage_2020,2.8459014814,Benchmark
1995,National,United States,00,NATURALCHG,Moodys-US,Moodys,1664159.9327166022,Benchmark
1985,Region,Puget Sound Region,53033-53035-53053-53061,DEATHS,Moodys-County,Moodys,-17840.871857535985,Benchmark
2010,Metropolitan Statistical Area,Seattle MSA,42660,RESIDUAL,Census-CBSA,PEP_Vintage_2020,-212.0,Benchmark
2003,County or Equivalent,Pierce County,53053,INTERNATIONALMIG,Moodys-County,Moodys,-1684.5472163243744,Broad
2024,Region,Puget Sound Region,53033-53035-53053-53061,NATURALCHG,Census-County-State-US,PEP_Vintage_2025,14107.0,Benchmark
1993,Region,Puget Sound Region,53033-53035-53053-53061,RESIDUAL,Moodys-County,Moodys,-1119.3888952443006,Benchmark
2021,State,Washington,53,NPOPCHG,Census-County-State-US,PEP_Vintage_2025,17504.0,Benchmark
2000,National,United States,00,DOMESTICMIG,Moodys-US,Moodys,746.1364178609392,Benchmark
2018,National,United States,00,RESIDUAL,Census-County-State-US,PEP_Vintage_2020,0.0,Benchmark
2019,County or Equivalent,Pierce County,53053,NPOPCHG,Census-County-State-US,PEP_Vintage_2020,10768.0,Broad
1986,Metropolitan Statistical Area,Seattle MSA,42660,INTERNATIONALMIG,Moodys-CBSA,Moodys,18391.02319899523,Benchmark
1990,State,Washington,53,DOMESTICMIG,Moodys-State,Moodys,82236.46903393095,Benchmark
2014,State,Washington,53,RNETMIG,Census-County-State-US,PEP_Vintage_2020,7.888313731,Benchmark
1984,Region,Puget Sound Region,53033-53035-53053-53061,INTERNATIONALMIG,Moodys-County,Moodys,8174.417195060177,Benchmark
2015,County or Equivalent,Pierce County,53053,RDEATH,Census-County-State-US,PEP_Vintage_2020,7.5961758006,Broad
2025,National,United States,00,BIRTHS,Census-County-State-US,PEP_Vintage_2025,3620461.0,Benchmark
2007,National,United States,00,BIRTHS,Moodys-US,Moodys,4300647.292159722,Benchmark
1994,Metropolitan Statistical Area,Seattle MSA,42660,DEATHS,Moodys-CBSA,Moodys,-19158.953141054873,Benchmark
2015,County or Equivalent,Pierce County,53053,INTERNATIONALMIG,Census-County-State-US,PEP_Vintage_2020,2405.0,Broad
1987,Region,Puget Sound Region,53033-53035-53053-53061,POPESTIMATE,Moodys-County,Moodys,2526009.1556219147,Benchmark
2013,State,Washington,53,RBIRTH,Census-County-State-US,PEP_Vintage_2020,12.585926816,Benchmark
2023,National,United States,00,NPOPCHG,Census-County-State-US,PEP_Vintage_2025,2758748.0,Benchmark
2012,State,Washington,53,RNATURALCHG,Census-County-State-US,PEP_Vintage_2020,5.4321416504,Benchmark
1988,Region,Puget Sound Region,53033-53035-53053-53061,INTERNATIONALMIG,Moodys-County,Moodys,41731.0299803809,Benchmark
2016,Region,Puget Sound Region,53033-53035-53053-53061,RBIRTH,Census-County-State-US,PEP_Vintage_2020,50.743670992,Benchmark
2018,County or Equivalent,Pierce County,53053,RBIRTH,Census-County-State-US,PEP_Vintage_2020,12.840035682,Broad
1996,State,Washington,53,DOMESTICMIG,Moodys-State,Moodys,32815.72100088604,Benchmark
1984,State,Washington,53,DEATHS,Moodys-State,Moodys,-33371.003391645114,Benchmark
2001,Metropolitan Statistical Area,Seattle MSA,42660,POPESTIMATE,Moodys-CBSA,Moodys,3092927.0000000005,Benchmark
