Variable Group Description,Age Group Description,Geography,Values,YEAR,Definition,Dataset,Geography Level,FIPS,NAME,Role
Multiracial Female,30 to 34,Seattle MSA,5076.0,2010,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2020,CBSA,42660,Seattle MSA,Benchmark
Native Hawaiian and Other Pacific Islander Female,65 to 69,"Pierce County, WA",277.0,2021,nan,PEP_Vintage_2024,County,53053,Pierce County,Broad
Native Hawaiian and Other Pacific Islander Female,85+,Washington,109.0,2019,nan,PEP_Vintage_2020,State,53,Washington,Benchmark
Asian Female,0 to 4,United States,439250.0,2010,nan,PEP_Vintage_2020,National,00,United States,Benchmark
Asian Female,85+,,2583.0,2010,nan,PEP_Vintage_2020,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
White Male,55 to 59,"Pierce County, WA",22013.0,2018,nan,PEP_Vintage_2020,County,53053,Pierce County,Broad
Multiracial Female,85+,Washington,509.0,2012,nan,PEP_Vintage_2020,State,53,Washington,Benchmark
All,60 to 64,United States,9119.148196017502,1973,nan,Moodys,National,00,United States,Benchmark
Asian Male,25 to 29,Seattle MSA,18359.0,2012,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2020,CBSA,42660,Seattle MSA,Benchmark
Native Hawaiian and Other Pacific Islander Male,65 to 69,Seattle MSA,345.0,2014,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2020,CBSA,42660,Seattle MSA,Benchmark
Multiracial Male,10 to 14,"Pierce County, WA",3026.0,2010,nan,PEP_Vintage_2020,County,53053,Pierce County,Broad
Multiracial Male,35 to 39,"Pierce County, WA",1365.0,2016,nan,PEP_Vintage_2020,County,53053,Pierce County,Broad
Native American Male,75 to 79,"Pierce County, WA",32.0,2010,nan,PEP_Vintage_2020,County,53053,Pierce County,Broad
Multiracial Female,70 to 74,,1318.0,2021,nan,PEP_Vintage_2024,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
White Male,0 to 4,,66328.0,2012,nan,PEP_Vintage_2020,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Asian Female,15 to 19,United States,507798.0,2015,nan,PEP_Vintage_2020,National,00,United States,Benchmark
Native American Male,0 to 4,United States,88713.0,2010,nan,PEP_Vintage_2020,National,00,United States,Benchmark
Native Hawaiian and Other Pacific Islander Female,40 to 44,United States,18202.0,2015,nan,PEP_Vintage_2020,National,00,United States,Benchmark
Black or African American Female,40 to 44,,6790.0,2011,nan,PEP_Vintage_2020,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
